warehouse_id;sku;product_name;quantity_available;minimum_level;location;last_updated;supplier
  WH-01  ;ERP--MOU--006--2024;Logitech MX Keys;463 units;15;Warehouse B - Section 2;02/09/2025;ASUS Inc  
WH_03;ERP--KEY--005--2024;ASUS VivoBook 15 Laptop;205;23;WAREHOUSE B - SECTION 2;2025-10-01T17:18:14Z;  Apple Inc.
WH-04  ;ERP--PHONE--002--2024;  Logitech MX Keys;489;49;Warehouse A - Section 1;16/09/2025;  LG Electronics  
WH_01;ERP-LAP-001-2024;  Samsung Galaxy S24 Ultra  ;318 units;35;WAREHOUSE A - SECTION 1;23/09/2025;  Apple Inc.  
WH_02;ERP_PHONE_002_2024;  ASUS VivoBook 15 Laptop;171pcs;24;Warehouse A - Section 1;11/09/2025 08:53;Logitech International  
WH_01;ERP/PHONE/002/2024;  Samsung Galaxy S24 Ultra  ;441pcs;16;WAREHOUSE A - SECTION 1;2025-09-11T07:56:12Z;Samsung Electronics
WH-03  ;  ERP-LAP-001-2024  ;  Samsung Galaxy S24 Ultra  ;310;40;Warehouse B - Section 2;09/10/2025 03:26;LG Electronics
WH-01  ;  ERP-PHONE-002-2024  ;  ASUS VivoBook 15 Laptop  ;97;13;Warehouse A - Section 1;05-10-2025 19:16:42;Samsung Electronics
WH-01  ;ERP_MOU_006_2024;  ASUS VivoBook 15 Laptop  ;347 units;19;WAREHOUSE B - SECTION 2;2025-09-29T08:18:35Z;  Samsung Electronics
WH-03;ERP--PHONE--002--2024;Apple iPad Pro 12.9 512GB  ;354pcs;21;Warehouse A - Section 1;2025-10-02T22:37:26Z;  Apple Inc.  
WH-04;ERP--LAP--001--2024;Logitech MX Master 3S;206 units;17;WAREHOUSE A - SECTION 1;2025-09-28T19:54:47Z;  ASUS Inc
  WH-04;ERP_TAB_003_2024;  Apple iPad Pro 12.9 512GB;162 units;43;WAREHOUSE A - SECTION 1;06/10/2025 18:11;Apple Inc.
WH-03  ;ERP TAB 003 2024;Logitech MX Master 3S  ;55 units;44;Warehouse A - Section 1;23/09/2025 22:00;ASUS Inc  
WH_04;ERP--MOU--006--2024;Logitech MX Master 3S;372 units;48;WAREHOUSE B - SECTION 2;02/10/2025 17:33;Logitech International  
WH-01;ERP_PHONE_002_2024;  Samsung Galaxy S24 Ultra  ;198 units;40;Warehouse B - Section 2;07-10-2025 18:15:57;  Logitech International  
WH-01;ERP MOU 006 2024;  ASUS VivoBook 15 Laptop  ;290 units;13;Warehouse A - Section 1;2025/09/26 16:17;  ASUS Inc  
WH_04;ERP--KEY--005--2024;  Apple iPad Pro 12.9 512GB;43pcs;29;Warehouse B - Section 2;10-10-2025 00:58:09;Logitech  
WH-02;ERP LAP 001 2024;Logitech MX Master 3S;333pcs;45;Warehouse A - Section 1;2025/10/07 20:03;  Logitech  
WH-01;ERP PHONE 002 2024;Logitech MX Keys;28;28;Warehouse A - Section 1;07/10/2025 00:53;LG Electronics
WH-03;ERP--MON--004--2024;Apple iPad Pro 12.9 512GB;220;30;WAREHOUSE A - SECTION 1;21/09/2025 12:48;  Logitech
WH_02;ERP-MOU-006-2024;  Logitech MX Keys;352 units;33;Warehouse A - Section 1;11/10/2025 22:53;  Logitech
WH-05;ERP_PHONE_002_2024;ASUS VivoBook 15 Laptop  ;329pcs;30;Warehouse A - Section 1;30/09/2025 23:20;  Apple Inc.
WH_02;ERP PHONE 002 2024;  Samsung Galaxy S24 Ultra  ;17 units;27;Warehouse A - Section 1;03-10-2025 14:44:54;  Apple Inc.
WH-03;ERP_PHONE_002_2024;Logitech MX Master 3S  ;378 units;25;WAREHOUSE A - SECTION 1;2025/09/27 01:15;  LG Electronics  
WH-02;  ERP-MOU-006-2024  ;  Logitech MX Keys;55 units;12;Warehouse A - Section 1;04-09-2025 18:39:43;  Logitech International  
WH-02;ERP/KEY/005/2024;  Logitech MX Keys  ;181;43;Warehouse A - Section 1;2025-10-07T18:59:56Z;ASUS Inc
WH-03;ERP_PHONE_002_2024;Samsung Galaxy S24 Ultra;474;17;Warehouse B - Section 2;09/10/2025;Logitech
WH-05;ERP_TAB_003_2024;  ASUS VivoBook 15 Laptop;155;32;Warehouse A - Section 1;2025-09-23T16:48:34Z;Logitech International  
  WH-02;ERP-MOU-006-2024;  Samsung Galaxy S24 Ultra  ;110 units;33;WAREHOUSE B - SECTION 2;28-09-2025 17:54:24;  Logitech
