warehouse_id;sku;product_name;quantity_available;minimum_level;location;last_updated;supplier
WH_03;ERP/MOU/006/2024;Apple iPad Pro 12.9 512GB  ;159;12;Warehouse A - Section 1;28/09/2025 02:08;  Logitech
  WH-01  ;ERP--KEY--005--2024;Logitech MX Keys  ;385pcs;33;Warehouse B - Section 2;02/10/2025 13:14;Apple Inc.  
WH-04;ERP--KEY--005--2024;  Apple iPad Pro 12.9 512GB;479;31;Warehouse B - Section 2;2025-10-07T12:41:34Z;LG Electronics  
WH-03;ERP-TAB-003-2024;  Logitech MX Master 3S;29;48;Warehouse B - Section 2;11/10/2025;Apple Inc.  
  WH-01;ERP/PHONE/002/2024;Apple iPad Pro 12.9 512GB;86;33;Warehouse A - Section 1;2025/09/05 13:14;  Logitech
  WH-02  ;ERP--MOU--006--2024;Apple iPad Pro 12.9 512GB  ;51 units;42;Warehouse B - Section 2;2025-09-05T04:10:10Z;LG Electronics
  WH-02;ERP/KEY/005/2024;Samsung Galaxy S24 Ultra;262;26;Warehouse A - Section 1;25-09-2025 16:30:48;LG Electronics
WH-02;ERP-MOU-006-2024;  Logitech MX Master 3S;361;25;WAREHOUSE B - SECTION 2;16-09-2025 04:05:12;Logitech International
  WH-05  ;ERP--MON--004--2024;Samsung Galaxy S24 Ultra  ;140pcs;20;WAREHOUSE B - SECTION 2;2025-09-05T00:09:28Z;  Apple Inc.  
WH_05;  ERP-TAB-003-2024  ;Samsung Galaxy S24 Ultra  ;164 units;11;WAREHOUSE B - SECTION 2;25-09-2025 14:10:46;Apple Inc.  
WH-05;ERP PHONE 002 2024;Logitech MX Master 3S  ;348 units;46;Warehouse B - Section 2;10/10/2025 02:30;  Apple Inc.  
  WH-01  ;  ERP-KEY-005-2024;  Apple iPad Pro 12.9 512GB;182 units;14;WAREHOUSE A - SECTION 1;25/09/2025 02:05;  LG Electronics
WH-03;ERP/PHONE/002/2024;ASUS VivoBook 15 Laptop;53 units;22;Warehouse A - Section 1;2025-09-29T16:33:21Z;ASUS Inc
WH-02;ERP_MOU_006_2024;Logitech MX Keys;473;50;WAREHOUSE B - SECTION 2;27/09/2025;Samsung Electronics
  WH-03;  ERP-LAP-001-2024;  LG UltraWide 34" Monitor  ;117pcs;24;Warehouse B - Section 2;2025-09-18T21:31:09Z;  LG Electronics
  WH-03;ERP_LAP_001_2024;  ASUS VivoBook 15 Laptop;59 units;31;WAREHOUSE B - SECTION 2;2025-09-11T22:01:13Z;  ASUS Inc  
WH-05;ERP--PHONE--002--2024;ASUS VivoBook 15 Laptop  ;16 units;26;Warehouse A - Section 1;2025-10-05T21:06:53Z;  Apple Inc.
  WH-05;ERP--MON--004--2024;LG UltraWide 34" Monitor;280;36;WAREHOUSE B - SECTION 2;07/10/2025 01:01;  LG Electronics
WH-05;ERP MON 004 2024;  LG UltraWide 34" Monitor  ;267 units;34;Warehouse B - Section 2;2025/10/06 05:02;LG Electronics  
  WH-05  ;ERP--KEY--005--2024;  Samsung Galaxy S24 Ultra;20;26;Warehouse B - Section 2;07/09/2025 15:57;ASUS Inc  
WH_02;ERP TAB 003 2024;Logitech MX Keys  ;138 units;13;Warehouse B - Section 2;2025-09-08T01:33:29Z;Logitech  
  WH-02;ERP_KEY_005_2024;  ASUS VivoBook 15 Laptop;362;25;Warehouse A - Section 1;2025-09-12T13:10:46Z;Apple Inc.  
WH_01;ERP MOU 006 2024;  Logitech MX Keys  ;399 units;18;Warehouse B - Section 2;17/09/2025;  Samsung Electronics
WH_03;ERP-KEY-005-2024;Apple iPad Pro 12.9 512GB;444pcs;30;WAREHOUSE A - SECTION 1;08/10/2025;LG Electronics  
